Sno,State,Confirmed,today increase,Deaths,Cured
1,Kerala,118,14,0,4
2,Maharashtra,122,12,2,1
3,Karnataka,51,4,1,3
4,Telangana ,39,0,0,1
5,Uttar Pradesh,38,2,0,11
6,Gujarat,38,0,1,0
7,Rajasthan ,36,0,0,3
8,Delhi,35,1,1,6
9,Punjab,31,0,1,0
10,Hariana ,31,0,0,11
11,Tamil Nadu,23,3,1,1
12,Ladakh,13,0,0,0
13,West Bengal,9,0,1,0
14,Andhra Pradesh,8,1,0,1
15,Madhya Pradesh,15,2,1,0
16,Chandigarh,7,0,0,0
17,Jammu and Kashmir,7,3,0,1
18,Uttarakhand,5,0,0,0
19,Himachal Pradesh,3,0,1,0
20,Bihar,4,0,1,0
21,Odisha ,2,0,0,0
22,Pondicherry ,1,0,0,0
23,Chhattisgarh,3,0,0,0
24,Manipur ,1,0,0,0
25,Mizoram,1,1,0,0
